"screen_name","created_at","tweet_id","text","extended_tweet","in_reply_to_screen_name","in_reply_to_status_id","retweet_count","favorite_count","truncated","language","in_reply_to_user_id"
"MicrochipTech","2020-05-06 21:01:10","1258139769189605376","New to sensor design with PIC® microcontrollers (MCUs)? Try the PIC16F15244 for an easy, budget-friendly start to y… https://t.co/lIZUHHuKYR","New to sensor design with PIC® microcontrollers (MCUs)? Try the PIC16F15244 for an easy, budget-friendly start to y… https://t.co/lIZUHHuKYR",,,"3","11",,"en",
"Paycom","2020-05-06 21:02:02","1258139987100475398","With rapid change brings great opportunity for innovation. On May 14th, we join @SHRM and @BarbaraCorcoran to discu… https://t.co/IgMeGSFV8A","With rapid change brings great opportunity for innovation. On May 14th, we join @SHRM and @BarbaraCorcoran to discu… https://t.co/IgMeGSFV8A",,,"0","0",,"en",
"Hologic","2020-05-06 21:04:02","1258140490496696327","We are excited to share that we’ve shipped out 1.3 million #SARSCoV2 diagnostic tests, helping labs across the coun… https://t.co/Zz5y5AoZqH","We are excited to share that we’ve shipped out 1.3 million #SARSCoV2 diagnostic tests, helping labs across the coun… https://t.co/Zz5y5AoZqH",,,"6","21",,"en",
"pfizer","2020-05-06 21:05:01","1258140735083368448","mRNA is a new mechanism for #vaccine creation that requires rapid development and scale-up of novel #manufacturing… https://t.co/kq83WSpkci","mRNA is a new mechanism for #vaccine creation that requires rapid development and scale-up of novel #manufacturing… https://t.co/kq83WSpkci",,,"14","44",,"en",
"Cognizant","2020-05-06 21:05:23","1258140828888895490","COVID-19 is affecting millions of people worldwide. To keep people healthy — and businesses running — Cognizant bel… https://t.co/RelxEhjLQw","COVID-19 is affecting millions of people worldwide. To keep people healthy — and businesses running — Cognizant bel… https://t.co/RelxEhjLQw",,,"4","22",,"en",
"XylemInc","2020-05-06 21:06:05","1258141004546240513","Residential 💦 know-how 🏡 @fcamagazine #letssolvewater #WednesdayWisdom https://t.co/Y4csOE3GHo","Residential 💦 know-how 🏡 @fcamagazine #letssolvewater #WednesdayWisdom https://t.co/Y4csOE3GHo",,,"1","2",,"en",
"TysonFoods","2020-05-06 21:07:22","1258141329500012549","From our on-staff medical providers to those partnering with us through Matrix Medical Network, we want to say… https://t.co/eCJU4Frqjn","From our on-staff medical providers to those partnering with us through Matrix Medical Network, we want to say… https://t.co/eCJU4Frqjn",,,"0","8",,"en",
"Exelon","2020-05-06 21:07:59","1258141484563476483","#PoweringThruTogether #ExelonCommunity https://t.co/L5QMxnYa7x","#PoweringThruTogether #ExelonCommunity https://t.co/L5QMxnYa7x",,,"1","10",,"und",
"MarathonOil","2020-05-06 21:08:03","1258141501915365377","Tweets posted today may contain forward-looking statements. Cautionary statement: https://t.co/dgJXPwsqVF $MRO #oilandgas #earnings","Tweets posted today may contain forward-looking statements. Cautionary statement: https://t.co/dgJXPwsqVF $MRO #oilandgas #earnings",,,"1","0",,"en",
"Travelers","2020-05-06 21:08:16","1258141556550373377","Today’s #EverydayActsOfCare is for our teachers: Now more than ever, our teachers deserve recognition for everythin… https://t.co/WgIV9ClI1A","Today’s #EverydayActsOfCare is for our teachers: Now more than ever, our teachers deserve recognition for everythin… https://t.co/WgIV9ClI1A",,,"2","7",,"en",
"MarathonOil","2020-05-06 21:09:50","1258141949267189764","$MRO Reports 1Q 2020 Results; Prioritizing Financial Strength and Flexibility https://t.co/3VKwQkSCT5 #oilandgas… https://t.co/0sh2qVgWH0","$MRO Reports 1Q 2020 Results; Prioritizing Financial Strength and Flexibility https://t.co/3VKwQkSCT5 #oilandgas… https://t.co/0sh2qVgWH0",,,"1","0",,"en",
"Verizon","2020-05-06 21:10:00","1258141991709356039","From front line to home care, healthcare workers like Clara bring a human touch to those who need it most. Join us… https://t.co/hvssE0oYtR","From front line to home care, healthcare workers like Clara bring a human touch to those who need it most. Join us… https://t.co/hvssE0oYtR",,,"3","13",,"en",
"ViacomCBS","2020-05-06 21:10:40","1258142159515123717","See the inner workings of the seemingly perfect First Family tonight as @TylerPerry’s #TheOvalOnBET returns with ne… https://t.co/FgF9Ntyynf","See the inner workings of the seemingly perfect First Family tonight as @TylerPerry’s #TheOvalOnBET returns with ne… https://t.co/FgF9Ntyynf",,,"7","42",,"en",
"MarathonOil","2020-05-06 21:10:46","1258142183028334592","$MRO CEO Lee Tillman: In response to the challenges facing our industry, we are exercising the capital allocation f… https://t.co/AGHTuM1VBC","$MRO CEO Lee Tillman: In response to the challenges facing our industry, we are exercising the capital allocation f… https://t.co/AGHTuM1VBC",,,"0","4",,"en",
"MarathonOil","2020-05-06 21:11:45","1258142433549877249","$MRO CEO Lee Tillman: We entered this unprecedented downturn on firm financial footing, and we believe we are takin… https://t.co/gl9uyHBa87","$MRO CEO Lee Tillman: We entered this unprecedented downturn on firm financial footing, and we believe we are takin… https://t.co/gl9uyHBa87",,,"1","6",,"en",
"HomeDepot","2020-05-06 21:12:18","1258142571043401728","#ProductRecall Alert: Prepac 4-drawer chests https://t.co/JAdU0Tu6qY","#ProductRecall Alert: Prepac 4-drawer chests https://t.co/JAdU0Tu6qY",,,"1","8",,"en",
"GoldmanSachs","2020-05-06 21:15:10","1258143289993297920","“This might be the catalyst that pushes a large number of #Millennials out of city centers and into the suburbs.” –… https://t.co/awzEOd4bn0","“This might be the catalyst that pushes a large number of #Millennials out of city centers and into the suburbs.” –… https://t.co/awzEOd4bn0",,,"4","15",,"en",
"MarathonOil","2020-05-06 21:18:08","1258144039452499969","$MRO #earnings presentation deck &amp; investor packet are posted to our website: https://t.co/V2Nqcl0ITd #oilandgas https://t.co/CxGAGlYGve","$MRO #earnings presentation deck &amp; investor packet are posted to our website: https://t.co/V2Nqcl0ITd #oilandgas https://t.co/CxGAGlYGve",,,"0","1",,"en",
"Prologis","2020-05-06 21:19:41","1258144426305548289","Will O'Donnell, head of @Prologis Ventures, speaks with @FreightWaves and @FreightAlley about the need for greater… https://t.co/z45QCoxZ2i","Will O'Donnell, head of @Prologis Ventures, speaks with @FreightWaves and @FreightAlley about the need for greater… https://t.co/z45QCoxZ2i",,,"2","6",,"en",
"SPGlobal","2020-05-06 21:20:08","1258144541087076352","From @SPGlobalRatings: For large US banks, loan loss expectations will be key to ratings:  https://t.co/VO2RF9NVI9 https://t.co/NiRYD0JVKW","From @SPGlobalRatings: For large US banks, loan loss expectations will be key to ratings:  https://t.co/VO2RF9NVI9 https://t.co/NiRYD0JVKW",,,"1","1",,"en",
"Adobe","2020-05-06 21:24:20","1258145598022148097","Don't miss our latest Adobe Creativity Tour challenge with @marshmellomusic &amp; @AdobePremiere 🤩🎶:… https://t.co/cBjgVyYU3p","Don't miss our latest Adobe Creativity Tour challenge with @marshmellomusic &amp; @AdobePremiere 🤩🎶:… https://t.co/cBjgVyYU3p",,,"5","42",,"en",
"MarathonOil","2020-05-06 21:28:02","1258146527542902784","Tune in for the $MRO #earnings call tomorrow at 8am CT. Details in our Investor Center: https://t.co/V2Nqcl0ITd… https://t.co/KZPwceDbxn","Tune in for the $MRO #earnings call tomorrow at 8am CT. Details in our Investor Center: https://t.co/V2Nqcl0ITd… https://t.co/KZPwceDbxn",,,"1","2",,"en",
"CMEGroup","2020-05-06 21:30:00","1258147024354127872","Our Global Head of Interest Rate Products, Agha Mirza, talked with @Bloomberg’s @beth_stanton about the evolution o… https://t.co/c33SJGk4pl","Our Global Head of Interest Rate Products, Agha Mirza, talked with @Bloomberg’s @beth_stanton about the evolution o… https://t.co/c33SJGk4pl",,,"4","10",,"en",
"usbank","2020-05-06 21:30:13","1258147079123341314","Online scams are becoming increasingly complex and can be hard to identify. Check out our course and learn how to p… https://t.co/iVpmA37jJ7","Online scams are becoming increasingly complex and can be hard to identify. Check out our course and learn how to p… https://t.co/iVpmA37jJ7",,,"1","1",,"en",
"biogen","2020-05-06 21:34:39","1258148192534831111","Proud of @IMC_Worldwide for deploying frontline healthcare workers to #COVID19 hotspots around the country. It’s a… https://t.co/bonovS5YNt","Proud of @IMC_Worldwide for deploying frontline healthcare workers to #COVID19 hotspots around the country. It’s a… https://t.co/bonovS5YNt",,,"4","13",,"en",
"3M","2020-05-06 21:37:34","1258148927792087042","Newly designed powered air-purifying respirators (PAPRs), developed by @Ford in close collaboration w/ 3M, as well… https://t.co/CZc1mdSmbC","Newly designed powered air-purifying respirators (PAPRs), developed by @Ford in close collaboration w/ 3M, as well… https://t.co/CZc1mdSmbC",,,"24","58",,"en",
"SVB_Financial","2020-05-06 21:38:00","1258149037573902336","Data from our new State of the Markets report show that #startups are spending less and borrowing more as they look… https://t.co/d6fxDpq66U","Data from our new State of the Markets report show that #startups are spending less and borrowing more as they look… https://t.co/d6fxDpq66U",,,"4","16",,"en",
"SPGlobal","2020-05-06 21:40:04","1258149558200283136","From @SPGMarketIntel: Lacking government support, Mexico's banks face 'a more complex' #coronavirus #COVID19 crisis… https://t.co/kMAsANWO61","From @SPGMarketIntel: Lacking government support, Mexico's banks face 'a more complex' #coronavirus #COVID19 crisis… https://t.co/kMAsANWO61",,,"0","0",,"en",
"Microsoft","2020-05-06 21:40:48","1258149743907295245","😮 https://t.co/5TsLaFnc2j","😮 https://t.co/5TsLaFnc2j",,,"33","328",,"und",
"WilliamsUpdates","2020-05-06 21:43:13","1258150352039403520","Our new Continental Divide Communications Tower allows us to provide key communications support for both our operat… https://t.co/nuNSnJuolg","Our new Continental Divide Communications Tower allows us to provide key communications support for both our operat… https://t.co/nuNSnJuolg",,,"1","6",,"en",
"Microsoft","2020-05-06 21:45:00","1258150798569152520","Thank you for sharing your thoughts and ideas on how we can improve #MicrosoftTeams for distance learning during CO… https://t.co/8tgnfDS5fV","Thank you for sharing your thoughts and ideas on how we can improve #MicrosoftTeams for distance learning during CO… https://t.co/8tgnfDS5fV",,,"22","122",,"en",
